! d1b Date 17-Nov-11 Time 14:07:33 Run 130589 > 130592
! orf   brah  La2CoMnO6_300K  
!
! Created: Thu Nov 17 15:41:15 2011
! fullprof : INSTR=10
! Wave lenght 
! 2.520
! Monitor/counts   Counting time/sec 
!        5387923.   3600000.0
! Temperature: Sample, Regulation, Requested 
!            298.931     300.008     300.000
!  angle  counts   sigma (F9.3,F15.3,F9.2)
   72.290      12308.000       110.9414
   72.390      12400.000       111.3553
   72.490      11863.000       108.9174
   72.590      11854.000       108.8761
   72.690      11522.000       107.3406
   72.790      11346.000       106.5176
   72.890      11159.000       105.6362
   72.990      11071.000       105.2188
   73.090      10897.000       104.3887
   73.190      10807.000       103.9567
   73.290      10651.000       103.2037
   73.390      10845.000       104.1393
   73.490      10534.000       102.6353
   73.590      10570.000       102.8105
   73.690      10484.000       102.3914
   73.790      10716.000       103.5181
   73.890      10938.000       104.5849
   73.990      11012.000       104.9381
   74.090      11151.000       105.5983
   74.190      11403.000       106.7848
   74.290      11834.000       108.7842
   74.390      12316.000       110.9775
   74.490      12606.000       112.2764
   74.590      12776.000       113.0310
   74.690      13113.000       114.5120
   74.790      13037.000       114.1797
   74.890      13033.000       114.1622
   74.990      12909.000       113.6178
   75.090      12649.000       112.4678
   75.190      12242.000       110.6436
   75.290      11636.000       107.8703
   75.390      11603.000       107.7172
   75.490      11270.000       106.1603
   75.590      11220.000       105.9245
   75.690      10839.000       104.1105
   75.790      10697.000       103.4263
   75.890      10700.000       103.4408
   75.990      10543.000       102.6791
   76.090      10571.000       102.8154
   76.190      10371.000       101.8381
   76.290      10497.000       102.4549
   76.390      10485.000       102.3963
   76.490      10506.000       102.4988
   76.590      10579.000       102.8543
   76.690      10535.000       102.6401
   76.790      10621.000       103.0582
   76.890      10657.000       103.2327
   76.990      10820.000       104.0192
   77.090      10508.000       102.5085
   77.190      10862.000       104.2209
   77.290      10766.000       103.7593
   77.390      10823.000       104.0336
   77.490      10479.000       102.3670
   77.590      10640.000       103.1504
   77.690      10532.000       102.6255
   77.790      10402.000       101.9902
   77.890      10467.000       102.3084
   77.990      10509.000       102.5134
   78.090      10419.000       102.0735
   78.190      10339.000       101.6809
   78.290      10380.000       101.8823
   78.390      10340.000       101.6858
   78.490      10419.000       102.0735
   78.590      10243.000       101.2077
   78.690      10492.000       102.4305
   78.790      10382.000       101.8921
   78.890      10575.000       102.8348
   78.990      10623.000       103.0679
   79.090      10311.000       101.5431
   79.190      10399.000       101.9755
   79.290      10564.000       102.7813
   79.390      10841.000       104.1201
   79.490      10729.000       103.5809
   79.590      10864.000       104.2305
   79.690      10898.000       104.3935
   79.790      11280.000       106.2073
   79.890      12423.000       111.4585
   79.990      13887.000       117.8431
   80.090      15893.000       126.0674
   80.190      18659.000       136.5979
   80.290      22174.000       148.9094
   80.390      26208.000       161.8889
   80.490      30146.000       173.6260
   80.590      35392.000       188.1276
   80.690      40389.000       200.9702
   80.790      44668.000       211.3481
   80.890      47789.000       218.6069
   80.990      48506.000       220.2408
   81.090      47738.000       218.4903
   81.190      44952.000       212.0189
   81.290      41324.000       203.2831
   81.390      36787.000       191.7994
   81.490      32100.000       179.1647
   81.590      27161.000       164.8060
   81.690      22611.000       150.3695
   81.790      18554.000       136.2131
   81.890      15689.000       125.2557
   81.990      13879.000       117.8092
   82.090      12542.000       111.9911
   82.190      11798.000       108.6186
   82.290      11254.000       106.0849
   82.390      10843.000       104.1297
   82.490      10771.000       103.7834
   82.590      10500.000       102.4695
   82.690      10507.000       102.5037
   82.790      10504.000       102.4890
   82.890      10440.000       102.1763
   82.990      10397.000       101.9657
   83.090      10369.000       101.8283
   83.190      10566.000       102.7911
